"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"113197","2343225","","1","31.0","20080","Flour, whole wheat, unenriched","GM","0","NONE","31.0","301",""
"113199","2343225","","3","28.0","14429","Beverages, water, tap, municipal","GM","0","NONE","28.0","0",""
"113204","2343225","","8","1.0","18375","Leavening agents, yeast, baker's, active dry","GM","0","NONE","1.0","301",""
"113198","2343225","","2","29.0","20083","Flour, bread, white, enriched, unbleached","GM","0","NONE","29.0","301",""
"113202","2343225","","6","2.0","19335","Sugars, granulated","GM","0","NONE","2.0","0",""
"113203","2343225","","7","1.0","2047","Salt, table, iodized","GM","0","NONE","1.0","0",""
"113205","2343226","","1","100.0","18347","Rolls, dinner, wheat","GM","0","NONE","100.0","0",""
"113206","2343227","","1","100.0","28312","Rolls, hamburger or hot dog, wheat/cracked wheat","GM","0","NONE","100.0","0",""
"113207","2343228","","1","100.0","28312","Rolls, hamburger or hot dog, wheat/cracked wheat","GM","0","NONE","100.0","0",""
"113208","2343229","","1","100.0","18347","Rolls, dinner, wheat","GM","0","NONE","100.0","0",""
"113209","2343230","","1","100.0","28313","Rolls, hamburger or hot dog, whole wheat","GM","0","NONE","100.0","0",""
"113210","2343231","","1","100.0","28313","Rolls, hamburger or hot dog, whole wheat","GM","0","NONE","100.0","0",""
"113211","2343232","","1","100.0","28321","Rolls, hamburger, whole grain white, calcium-fortified","GM","0","NONE","100.0","0",""
"113212","2343233","","1","100.0","28321","Rolls, hamburger, whole grain white, calcium-fortified","GM","0","NONE","100.0","0",""
"113213","2343234","","1","100.0","28321","Rolls, hamburger, whole grain white, calcium-fortified","GM","0","NONE","100.0","0",""
"113214","2343235","","1","100.0","18060","Bread, rye","GM","0","NONE","100.0","0",""
"113215","2343236","","1","100.0","18060","Bread, rye","GM","0","NONE","100.0","306",""
"113216","2343237","","1","100.0","18060","Bread, rye","GM","0","NONE","100.0","0",""
"113217","2343238","","1","100.0","18060","Bread, rye","GM","0","NONE","100.0","306",""
"113218","2343239","","1","100.0","18060","Bread, rye","GM","0","NONE","100.0","0",""
"113219","2343240","","1","100.0","18044","Bread, pumpernickel","GM","0","NONE","100.0","0",""
"113220","2343241","","1","100.0","18044","Bread, pumpernickel","GM","0","NONE","100.0","306",""
"113221","2343242","","1","100.0","18968","Bagels, wheat","GM","0","NONE","100.0","0",""
"113222","2343243","","1","100.0","18044","Bread, pumpernickel","GM","0","NONE","100.0","0",""
"113223","2343244","","1","100.0","18044","Bread, pumpernickel","GM","0","NONE","100.0","0",""
"113224","2343245","","1","100.0","18044","Bread, pumpernickel","GM","0","NONE","100.0","306",""
"113225","2343246","","1","100.0","18060","Bread, rye","GM","0","NONE","100.0","0",""
